zOverallRank,Date,team,stat,value,zscore,rank
339,20251022,Pittsburgh Penguins,FOW%,46.2,-0.847089332,27
340,20251022,New York Islanders,HDF%,43.7,-0.84737658,26
341,20251022,Washington Capitals,Pen Drawn/60,3.39,-0.847697591,26
342,20251022,Boston Bruins,HDC%,5.2,-0.856052446,28
343,20251022,Vancouver Canucks,xGF,11.3,-0.869233548,28
344,20251022,Chicago Blackhawks,SCF%,45.5,-0.879959868,27
345,20251022,Tampa Bay Lightning,Net Pen/60,-0.82,-0.898106468,27
346,20251022,Anaheim Ducks,xGA,15.1,-0.899091544,27
347,20251022,Los Angeles Kings,PK%,70,-0.903225095,27
348,20251022,Pittsburgh Penguins,HDCO%,4.4,-0.910426321,27
349,20251022,New York Rangers,PP%,15,-0.922332912,26
350,20251022,Montreal Canadiens,HDF%,43,-0.948340598,27
351,20251022,Boston Bruins,HDF%,43,-0.948340598,27
352,20251022,Calgary Flames,PP%,14.81,-0.951878666,27
353,20251022,Utah Mammoth,PP%,14.81,-0.951878666,27
354,20251022,New York Rangers,HDCO%,4.2,-0.965499369,28
355,20251022,New Jersey Devils,HDC%,4.8,-0.979447393,29
356,20251022,New York Rangers,Pen Drawn/60,3.28,-1.000561091,27
357,20251022,Colorado Avalanche,HDCO%,4,-1.020572417,29
358,20251022,Utah Mammoth,HDCO%,3.9,-1.048108941,30
359,20251022,San Jose Sharks,PK%,68.42,-1.061840846,28
360,20251022,Los Angeles Kings,Pen Drawn/60,3.23,-1.0700445,28
361,20251022,Calgary Flames,xGF,10.8,-1.080276595,29
362,20251022,Edmonton Oilers,HDC%,4.4,-1.10284234,30
363,20251022,San Jose Sharks,SCF%,44.4,-1.106382291,28
364,20251022,Seattle Kraken,FOW%,45,-1.122752301,28
365,20251022,Seattle Kraken,CF%,45.6,-1.128322901,28
366,20251022,Vancouver Canucks,CF%,45.3,-1.197492121,29
367,20251022,Seattle Kraken,xGF,10.5,-1.206902423,30
368,20251022,Vancouver Canucks,FOW%,44.6,-1.214639957,29
369,20251022,Utah Mammoth,Pen Taken/60,5.15,-1.219721884,27
370,20251022,Minnesota Wild,SCF%,43.8,-1.22988543,29
371,20251022,Seattle Kraken,PK%,66.67,-1.237522848,29
372,20251022,New York Islanders,xGA,15.8,-1.259371519,28
373,20251022,Boston Bruins,xGA,15.8,-1.259371519,28
374,20251022,New York Rangers,xGA,15.8,-1.259371519,28
375,20251022,Vancouver Canucks,HDF%,40.7,-1.280079514,29
376,20251022,Toronto Maple Leafs,PP%,12.5,-1.311092833,29
377,20251022,Buffalo Sabres,Net Pen/60,-1.2,-1.316534616,28
378,20251022,Columbus Blue Jackets,Net Pen/60,-1.2,-1.316534616,28
379,20251022,Calgary Flames,Pen Taken/60,5.26,-1.336964402,28
380,20251022,Seattle Kraken,SCF%,43,-1.394556283,30
381,20251022,Dallas Stars,PK%,65,-1.405173673,30
382,20251022,Minnesota Wild,HDF%,39.8,-1.409890394,30
383,20251022,Los Angeles Kings,Net Pen/60,-1.29,-1.415636019,30
384,20251022,Washington Capitals,HDCO%,2.5,-1.433620275,31
385,20251022,Colorado Avalanche,PP%,11.54,-1.460376642,30
386,20251022,Winnipeg Jets,Pen Taken/60,5.4,-1.486182153,29
387,20251022,Minnesota Wild,xGF,9.8,-1.502362688,31
388,20251022,Utah Mammoth,FOW%,43.3,-1.51327484,30
389,20251022,Tampa Bay Lightning,Pen Taken/60,5.43,-1.518157385,30
390,20251022,Vancouver Canucks,SCF%,42.3,-1.538643279,31
391,20251022,Dallas Stars,CF%,43.8,-1.54333822,30
392,20251022,Columbus Blue Jackets,HDCO%,1.9,-1.598839419,32
393,20251022,Seattle Kraken,Pen Drawn/60,2.84,-1.612015091,29
394,20251022,San Jose Sharks,CF%,43.3,-1.658620254,31
395,20251022,St. Louis Blues,Pen Drawn/60,2.8,-1.667601818,30
396,20251022,Toronto Maple Leafs,Pen Drawn/60,2.8,-1.667601818,30
397,20251022,Washington Capitals,HDC%,2.3,-1.750665812,31
398,20251022,Winnipeg Jets,Net Pen/60,-1.6,-1.756985298,31
399,20251022,Carolina Hurricanes,PP%,9.52,-1.774494658,31
400,20251022,Buffalo Sabres,FOW%,42.1,-1.788937809,31
401,20251022,Tampa Bay Lightning,FOW%,42.1,-1.788937809,31
402,20251022,Chicago Blackhawks,Net Pen/60,-1.63,-1.790019099,32
403,20251022,Tampa Bay Lightning,HDC%,2,-1.843212022,32
404,20251022,Pittsburgh Penguins,Pen Drawn/60,2.67,-1.848258682,32
405,20251022,Seattle Kraken,HDF%,36.7,-1.85701676,31
406,20251022,Vancouver Canucks,xGA,17,-1.876994333,31
407,20251022,Columbus Blue Jackets,PK%,60,-1.907122251,31
408,20251022,Nashville Predators,PP%,8.33,-1.95954438,32
409,20251022,Chicago Blackhawks,Pen Taken/60,5.88,-1.997785871,31
410,20251022,Minnesota Wild,xGA,17.3,-2.031400037,32
411,20251022,Buffalo Sabres,Pen Taken/60,6,-2.1256868,32
412,20251022,Ottawa Senators,PK%,57.69,-2.139022495,32
413,20251022,Winnipeg Jets,HDF%,34.3,-2.203179107,32
