"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"101","0:28","0.1","BARRETT HAYTON - LOGAN COOLEY","0","0","0","0","1","0.0","0","1","0.0"
"102","0:28","0.1","NICK BJUGSTAD - ALEXANDER KERFOOT - LAWSON CROUSE - CLAYTON KELLER","0","0","0","0","0","0.0","0","0","0.0"
"103","0:28","0.1","CLAYTON KELLER - BARRETT HAYTON - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"104","0:27","0.1","KEVIN STENLUND - JJ PETERKA","0","0","0","0","1","0.0","0","1","0.0"
"105","0:27","0.1","ALEXANDER KERFOOT - NICK SCHMALTZ - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"106","0:27","0.1","ANDREW AGOZZINO - LAWSON CROUSE - KAILER YAMAMOTO","0","0","0","0","0","0.0","0","1","0.0"
"107","0:26","0.1","BARRETT HAYTON - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"108","0:25","0.1","LAWSON CROUSE - LOGAN COOLEY","0","0","0","0","0","0.0","0","1","0.0"
"109","0:25","0.1","BARRETT HAYTON - JJ PETERKA","0","0","0","0","0","0.0","1","0","100.0"
"110","0:24","0.1","LAWSON CROUSE - BARRETT HAYTON - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"111","0:24","0.1","BRANDON TANEV - NICK SCHMALTZ - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"112","0:23","0.1","LAWSON CROUSE - NICK SCHMALTZ - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"113","0:23","0.1","CLAYTON KELLER - KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"114","0:23","0.1","BRANDON TANEV - CLAYTON KELLER - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","1","0","100.0","1","0","100.0"
"115","0:23","0.1","NICK BJUGSTAD - LAWSON CROUSE - JACK MCBAIN","0","0","0","0","0","0.0","0","0","0.0"
