"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"166","0:09","0.0","ALEXANDER WENNBERG - NIKOLAI KOVALENKO - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"167","0:09","0.0","JEFF SKINNER - WILL SMITH - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"168","0:09","0.0","BARCLAY GOODROW - CARL GRUNDSTROM - NIKOLAI KOVALENKO - DANIL GUSHCHIN - MACKLIN CELEBRINI","0","1","-1","0","1","0.0","1","1","50.0"
"169","0:09","0.0","TY DELLANDREA - NOAH GREGOR - COLLIN GRAF","0","0","0","0","0","0.0","1","0","100.0"
"170","0:08","0.0","CARL GRUNDSTROM - NOAH GREGOR - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"171","0:08","0.0","TYLER TOFFOLI - CARL GRUNDSTROM - ZACK OSTAPCHUK","0","0","0","0","1","0.0","0","1","0.0"
"172","0:08","0.0","CARL GRUNDSTROM - TY DELLANDREA - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"173","0:08","0.0","ADAM GAUDETTE - COLLIN GRAF - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"174","0:08","0.0","ADAM GAUDETTE - PHILIPP KURASHEV - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"175","0:08","0.0","BARCLAY GOODROW - TY DELLANDREA - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"176","0:08","0.0","JEFF SKINNER - TYLER TOFFOLI - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"177","0:08","0.0","TY DELLANDREA - ZACK OSTAPCHUK - MACKLIN CELEBRINI","0","0","0","0","1","0.0","0","1","0.0"
"178","0:08","0.0","CARL GRUNDSTROM - NOAH GREGOR - NIKOLAI KOVALENKO","0","0","0","0","0","0.0","0","0","0.0"
"179","0:08","0.0","BARCLAY GOODROW - CARL GRUNDSTROM - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"180","0:08","0.0","BARCLAY GOODROW - DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"181","0:08","0.0","TY DELLANDREA - NOAH GREGOR - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"182","0:07","0.0","TYLER TOFFOLI - BARCLAY GOODROW - CARL GRUNDSTROM - NOAH GREGOR","0","0","0","0","0","0.0","0","0","0.0"
"183","0:07","0.0","RYAN REAVES - PHILIPP KURASHEV - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"184","0:07","0.0","TYLER TOFFOLI - TY DELLANDREA - DANIL GUSHCHIN","0","0","0","0","0","0.0","0","0","0.0"
"185","0:07","0.0","TYLER TOFFOLI - NOAH GREGOR - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"186","0:07","0.0","JEFF SKINNER - ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"187","0:07","0.0","BARCLAY GOODROW - TY DELLANDREA - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"188","0:06","0.0","TYLER TOFFOLI - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"189","0:06","0.0","RYAN REAVES - JEFF SKINNER - ADAM GAUDETTE","0","0","0","0","0","0.0","0","0","0.0"
"190","0:06","0.0","NIKOLAI KOVALENKO - ZACK OSTAPCHUK - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"191","0:06","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - BARCLAY GOODROW","0","0","0","0","0","0.0","0","0","0.0"
"192","0:06","0.0","JEFF SKINNER - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"193","0:06","0.0","ALEXANDER WENNBERG - BARCLAY GOODROW - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","1","0.0"
"194","0:06","0.0","BARCLAY GOODROW - CARL GRUNDSTROM","0","0","0","0","0","0.0","0","0","0.0"
"195","0:06","0.0","TYLER TOFFOLI - PHILIPP KURASHEV - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"196","0:06","0.0","TYLER TOFFOLI - NOAH GREGOR - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"197","0:06","0.0","ALEXANDER WENNBERG - THOMAS BORDELEAU - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"198","0:06","0.0","ALEXANDER WENNBERG - ADAM GAUDETTE - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
"199","0:05","0.0","TYLER TOFFOLI - DANIL GUSHCHIN - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"200","0:05","0.0","NIKOLAI KOVALENKO - DANIL GUSHCHIN - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"201","0:05","0.0","TY DELLANDREA - WILLIAM EKLUND - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"202","0:05","0.0","CARL GRUNDSTROM - ZACK OSTAPCHUK - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"203","0:05","0.0","ALEXANDER WENNBERG - ZACK OSTAPCHUK - WILL SMITH - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"204","0:05","0.0","NIKOLAI KOVALENKO - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"205","0:05","0.0","ALEXANDER WENNBERG - TY DELLANDREA - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"206","0:05","0.0","NOAH GREGOR - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"207","0:05","0.0","TY DELLANDREA - DANIL GUSHCHIN - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"208","0:05","0.0","ALEXANDER WENNBERG - BARCLAY GOODROW - PHILIPP KURASHEV","0","0","0","0","0","0.0","0","0","0.0"
